First Lady,President,First Ladies and Presidents
Martha Washington,George Washington,First Ladies and Presidents
Abigail Adams,John Adams,First Ladies and Presidents
"November 22, 1744 – October 28, 1818","m. October 25, 1764",First Ladies and Presidents
Martha Jefferson,Thomas Jefferson,First Ladies and Presidents
Dolley Madison,James Madison,First Ladies and Presidents
Elizabeth Monroe,James Monroe,First Ladies and Presidents
Louisa Adams,John Quincy Adams,First Ladies and Presidents
Emily Donelson,Andrew Jackson,First Ladies and Presidents
Sarah Jackson,Andrew Jackson,First Ladies and Presidents
Sarah Van Buren,Martin Van Buren,First Ladies and Presidents
Anna Harrison,William Henry Harrison,First Ladies and Presidents
Jane Harrison,William Henry Harrison,First Ladies and Presidents
Letitia Tyler,John Tyler,First Ladies and Presidents
Priscilla Tyler,John Tyler,First Ladies and Presidents
Julia Tyler,John Tyler,First Ladies and Presidents
Sarah Polk,James K. Polk,First Ladies and Presidents
"Margaret ""Peggy"" Taylor",Zachary Taylor,First Ladies and Presidents
Abigail Fillmore,Millard Fillmore,First Ladies and Presidents
Jane Pierce,Franklin Pierce,First Ladies and Presidents
Harriet Lane,James Buchanan,First Ladies and Presidents
Mary Lincoln,Abraham Lincoln,First Ladies and Presidents
"March 13, 1798 – March 30, 1853","m. February 5, 1826",First Ladies and Presidents
Eliza Johnson,Andrew Johnson,First Ladies and Presidents
Julia Grant,Ulysses S. Grant,First Ladies and Presidents
Lucy Hayes,Rutherford B. Hayes,First Ladies and Presidents
Lucretia Garfield,James A. Garfield,First Ladies and Presidents
Mary McElroy,Chester A. Arthur,First Ladies and Presidents
Rose Cleveland,Grover Cleveland,First Ladies and Presidents
Frances Cleveland,Grover Cleveland,First Ladies and Presidents
Caroline Harrison,Benjamin Harrison,First Ladies and Presidents
Mary Harrison McKee,Benjamin Harrison,First Ladies and Presidents
Frances Cleveland,Grover Cleveland,First Ladies and Presidents
Ida McKinley,William McKinley,First Ladies and Presidents
Edith Roosevelt,Theodore Roosevelt,First Ladies and Presidents
"Helen ""Nellie"" Taft",William H. Taft,First Ladies and Presidents
Ellen Wilson,Woodrow Wilson,First Ladies and Presidents
Margaret Wilson,Woodrow Wilson,First Ladies and Presidents
Edith Wilson,Woodrow Wilson,First Ladies and Presidents
Florence Harding,Warren G. Harding,First Ladies and Presidents
Grace Coolidge,Calvin Coolidge,First Ladies and Presidents
Lou Hoover,Herbert Hoover,First Ladies and Presidents
Eleanor Roosevelt,Franklin D. Roosevelt,First Ladies and Presidents
"Elizabeth ""Bess"" Truman",Harry S. Truman,First Ladies and Presidents
"Mary ""Mamie"" Eisenhower",Dwight D. Eisenhower,First Ladies and Presidents
"Jacqueline ""Jackie"" Kennedy",John F. Kennedy,First Ladies and Presidents
"Claudia ""Lady Bird"" Johnson",Lyndon B. Johnson,First Ladies and Presidents
"Thelma ""Pat"" Nixon",Richard Nixon,First Ladies and Presidents
"Elizabeth ""Betty"" Ford",Gerald Ford,First Ladies and Presidents
Rosalynn Carter,Jimmy Carter,First Ladies and Presidents
Nancy Reagan,Ronald Reagan,First Ladies and Presidents
Barbara Bush,George H. W. Bush,First Ladies and Presidents
Hillary Clinton,Bill Clinton,First Ladies and Presidents
Laura Bush,George W. Bush,First Ladies and Presidents
Michelle Obama,Barack Obama,First Ladies and Presidents
Melania Trump,Donald Trump,First Ladies and Presidents
Jill Biden,Joe Biden,First Ladies and Presidents
Melania Trump,Donald Trump,First Ladies and Presidents
